Rk,Coach,From,To,Yrs,G,W,L,W-L%,CREG,CTRN,NCAA,FF,NC
1,Dean Smith,1962,1997,36,1133,879,254,.776,17,13,27,11,2
2,Roy Williams,2004,2021,18,648,485,163,.748,9,3,16,5,3
3,Frank McGuire,1953,1961,9,222,164,58,.739,5,1,2,1,1
4,Tom Scott,1947,1952,6,165,100,65,.606,0,0,0,0,0
5,Bill Lange,1940,1944,5,126,85,41,.675,2,1,1,0,0
6,Bill Guthridge,1998,2000,3,108,80,28,.741,0,1,3,2,0
7,Jimmy Ashmore,1927,1931,5,117,80,37,.684,0,0,0,0,0
8,Hubert Davis,2022,2024,3,109,78,31,.716,1,0,2,1,0
9,Bo Shepard,1932,1935,4,85,69,16,.812,1,1,0,0,0
10,Walter Skidmore,1936,1939,4,90,65,25,.722,1,1,0,0,0
11,Matt Doherty,2001,2003,3,96,53,43,.552,1,0,1,0,0
12,Ben Carnevale,1945,1946,2,63,52,11,.825,1,1,1,1,0
13,Fred Boye,1920,1923,4,74,50,24,.676,1,1,0,0,0
14,Norman Shepard,1924,1924,1,26,26,0,1.000,0,1,0,0,0
15,Nat Cartmell,1911,1914,4,49,25,24,.510,0,0,0,0,0
16,Howell Peacock,1917,1919,3,37,23,14,.622,0,0,0,0,0
17,Monk McDonald,1925,1925,1,25,20,5,.800,0,1,0,0,0
18,Harlan Sanborn,1926,1926,1,25,20,5,.800,0,1,0,0,0
19,Chick Doak,1915,1916,2,34,18,16,.529,0,0,0,0,0
