Question 1,Question 2,Question 3
Poor,Very Good,Very Good
Very Good,Very Good,Fair
Fair,Very Good,Excellent
Very Good,Poor,Very Good
Good,Very Good,Fair
Poor,Very Good,Excellent
Very Good,Very Good,Good
Good,Good,Very Good
Very Good,Excellent,Excellent
Fair,Very Good,Very Good
Poor,Good,Fair
Very Good,Poor,Excellent
Very Good,Very Good,Excellent
Fair,Excellent,Fair
Very Good,Good,Excellent
Poor,Very Good,Very Good
Fair,Good,Fair
Very Good,Fair,Very Good
Good,Poor,Fair
Poor,Poor,Very Good
Good,Excellent,Fair
Poor,Fair,Very Good
Very Good,Good,Excellent
Very Good,Excellent,Fair
Good,Poor,Excellent
Very Good,Excellent,Very Good
Good,Excellent,Very Good
Excellent,Fair,Good
Very Good,Fair,Very Good
Poor,Very Good,Very Good
Good,Good,Excellent
Fair,Poor,Poor
Very Good,Good,Very Good
Fair,Good,Excellent
Very Good,Excellent,Very Good
Fair,Very Good,Excellent
Poor,Excellent,Fair
Very Good,Fair,Excellent
Fair,Good,Excellent
Very Good,Very Good,Very Good
Very Good,Excellent,Excellent
Excellent,Excellent,Good
Good,Very Good,Very Good
Good,Fair,Very Good
Poor,Poor,Fair
Fair,Poor,Very Good
Very Good,Excellent,Very Good
Excellent,Fair,Poor
Fair,Very Good,Poor
Poor,Poor,Excellent
Good,Very Good,Excellent
Excellent,Very Good,Very Good
Good,Very Good,Excellent
Fair,Very Good,Excellent
Excellent,Good,Very Good
Good,Very Good,Very Good
Fair,Fair,Excellent
Good,Very Good,Very Good
Fair,Very Good,Very Good
Excellent,Good,Poor
Good,Poor,Good
Very Good,Fair,Very Good
Fair,Good,Excellent
Poor,Very Good,Very Good
Fair,Very Good,Good
Excellent,Excellent,Good
Very Good,Excellent,Poor
Good,Fair,Fair
Poor,Fair,Very Good
Poor,Fair,Very Good
Very Good,Good,Very Good
Very Good,Good,Good
Good,Fair,Very Good
Very Good,Excellent,Excellent
Fair,Very Good,Excellent
Very Good,Very Good,Good
Excellent,Excellent,Very Good
Very Good,Fair,Good
Excellent,Very Good,Fair
Fair,Fair,Good
Fair,Fair,Very Good
Good,Very Good,Very Good
Fair,Fair,Fair
Very Good,Good,Poor
Excellent,Very Good,Excellent
Good,Very Good,Good
Excellent,Excellent,Fair
Excellent,Very Good,Fair
Very Good,Very Good,Excellent
Excellent,Very Good,Poor
Fair,Excellent,Very Good
Very Good,Very Good,Good
Excellent,Very Good,Fair
Very Good,Very Good,Very Good
Fair,Very Good,Very Good
Very Good,Good,Poor
Very Good,Very Good,Very Good
Very Good,Excellent,Poor
Poor,Excellent,Fair
Very Good,Very Good,Good
Excellent,Very Good,Very Good
Fair,Very Good,Excellent
Good,Poor,Fair
Very Good,Very Good,Poor
Very Good,Excellent,Excellent
Excellent,Excellent,Excellent
Excellent,Good,Good
Good,Very Good,Very Good
Excellent,Fair,Very Good
